Id,Compagnie/Airline,Code IATA/  IATA code,Code OACI/  ICAO code,Pays/Country,Website,Remarques/Remarks
90.0,AIR ATLANTIC,9A,ATL,Canada,,Fin des opérations : octobre 1998 / Date of end of operations : October 1998
91.0,AIR ATLANTIS,EJ,AIA,Portugal,,Fusionna ave TAP en février 1993 / Merged with TAP in February 1993
92.0,AIR BAGAN,W9,JAB,Myanmar,www.airbagan.com,
93.0,AIR BASHKORTOSTAN,ZU,BBT,Russie/Russia,,
94.0,AIR BC,ZX,ABL,Canada,,Fusionna avec Air Nova et Air Ontario pour former Air Canada Connector en 2000 / Merged with Air Nova and Air Ontario to form Air Canada in 2000.
95.0,AIR BELFAST,7L,AZX,Grande Bretagne/U.K.,,Intégrée dans AB Airlines en 1996 / Integrated into AB Airlines in 1996
96.0,AIRBERLIN,AB,BER,Allemagne/Germany,www.airberlin.com,
100.0,AIR BRISTOL,7L,AZX,Grande Bretagne/U.K.,,Rebaptisée Air Belfast en 1995 / Renamed Air Belfast in 1995
102.0,AIR BURUNDI,8Y,PBU,Burundi,,
104.0,AIR CALIN - AIR CALEDONIE INTERNATIONAL,SB,ACI,Nouvelle Calédonie/New Caledonia,www.aircalin.com,
105.0,AIR CANADA,AC,ACA,Canada,www.aircanada.com,
106.0,AIR CANADA JAZZ,QK,ARN,Canada,www.flyjazz.ca,
107.0,AIR CARGO CARRIERS,2Q,SNC,USA,www.aircar.com,
108.0,AIR CENTRAL,NV,CRF,Japon/Japan,www.air-central.co.jp,Fin des opérations : 1 octobre 2010 / Date of end of operations : October 1 2010
109.0,AIR CHARTER,SF,ACF,France,,Fin des opérations : octobre 1998 / Date of end of operations : October 1998
110.0,AIR CHATHAMS,CV,CVA,Nouvelle Zélande/New Zealand,www.airchathams.com,
111.0,AIR CHINA,CA,CCA,Chine/China,www.airchina.com.cn,
112.0,AIR CHINA CARGO,CA,CAO,Chine/China,www.airchina.com.cn,
113.0,AIR CITY,SE,ACY,Suisse/Switzerland,,Fin des opérations : mai 1991 / Date of end of operations : May 1991
114.0,AIR CLASS LINEAS AEREAS,QD,QCL,Uruguay,www.airclass.com.uy,
116.0,AIR COMET,A7,MPD,Espagne/Spain,,Fin des opérations : Décembre 2009/Date operations ceased : December 2009
117.0,AIR DECCAN,DN,DKN,Inde/India,www.airdeccan.net,
118.0,AIR DO,HD,ADO,Japon/Japan,www.airdo.jp,
119.0,AIR DOLOMITI,EN,DLA,Italie/Italia,www.airdolomiti.it,
122.0,AIR EQUATOR,,EQU,Maldives,,
123.0,AIR EUROPA,UX,AEA,Espagne/Spain,www.aireuropa.com,
124.0,AIR EUROPE,VE,AEL,Italie/Italia,,Absorbée par Alitalia en décembre 2008 / Merged into Alitalia in December 2008
125.0,AIR EUROPE,AE,AEL,Grande Bretagne/U.K.,,Fin des opérations : mars 1991 / Date of end of operations : March 1991
128.0,AIR EXPRESS ALGERIA,,HME,Algérie/Algeria,www.airexpress-dz.com,
129.0,AIR FIJI,PC,FAJ,Fiji,,Fin des opérations : 30 avril 2009 / Date operations ceased : 30 April 2009
130.0,AIR FINLAND,OF,FIF,Finlande/Finland,www.airfinland.fi,Fin des opérations : 26 juin 2012 / Date operations ceased : June 26 2012
